index,State,Rank,Make/Model,Model Year,Thefts
264,Montana,5,Ford F-150,2022,184
265,Montana,6,GMC Sierra 1500,2020,190
266,Montana,7,Acura Integra,2023,159
267,Montana,8,Toyota Corolla,2021,168
268,Montana,9,Tesla Model 3,2021,138
269,Montana,10,Toyota Camry,2023,134
270,Nebraska,1,Toyota RAV4,2021,411
271,Nebraska,2,Honda Accord,2020,369
272,Nebraska,3,Ford Explorer,2020,346
273,Nebraska,4,Toyota Corolla,2023,295
274,Nebraska,5,Tesla Model 3,2023,267
275,Nebraska,6,Nissan Sentra,2019,246
276,Nebraska,7,Jeep Grand Cherokee,2022,251
277,Nebraska,8,Nissan Altima,2023,236
278,Nebraska,9,Subaru Outback,2020,197
279,Nebraska,10,Honda Civic,2020,188
280,Nevada,1,Honda CR-V,2022,486
281,Nevada,2,Acura Integra,2023,462
282,Nevada,3,Kia Optima,2020,415
283,Nevada,4,Toyota Camry,2022,399
284,Nevada,5,Kia Forte,2023,359
285,Nevada,6,Ram 1500,2021,313
286,Nevada,7,Hyundai Elantra,2020,278
287,Nevada,8,Subaru Outback,2020,249
288,Nevada,9,Ford F-150,2024,236
289,Nevada,10,Dodge Charger,2020,221
290,New Hampshire,1,Chevrolet Malibu,2022,334
291,New Hampshire,2,Toyota RAV4,2023,285
292,New Hampshire,3,Nissan Sentra,2019,272
293,New Hampshire,4,Ford Explorer,2021,246
294,New Hampshire,5,Ram 1500,2021,221
295,New Hampshire,6,Kia Optima,2021,195
296,New Hampshire,7,Acura Integra,2021,206
297,New Hampshire,8,Kia Forte,2023,173
298,New Hampshire,9,Toyota Corolla,2021,152
299,New Hampshire,10,Honda Accord,2022,153
300,New Jersey,1,Nissan Sentra,2020,1961
301,New Jersey,2,Chevrolet Silverado 1500,2023,1837
302,New Jersey,3,Ram 1500,2020,1583
303,New Jersey,4,Ford F-150,2021,1536
304,New Jersey,5,Subaru Outback,2021,1410
305,New Jersey,6,Honda Civic,2021,1155
306,New Jersey,7,Honda CR-V,2022,1165
307,New Jersey,8,Chevrolet Tahoe,2020,1066
308,New Jersey,9,Tesla Model 3,2021,951
309,New Jersey,10,Kia Forte,2023,834
310,New Mexico,1,Chevrolet Tahoe,2020,425
311,New Mexico,2,Nissan Altima,2021,419
312,New Mexico,3,Toyota Corolla,2021,386
313,New Mexico,4,Ford Explorer,2022,361
314,New Mexico,5,Subaru Outback,2022,326
315,New Mexico,6,Jeep Grand Cherokee,2022,292
316,New Mexico,7,Tesla Model 3,2021,251
317,New Mexico,8,Chevrolet Malibu,2022,236
318,New Mexico,9,Nissan Sentra,2021,220
319,New Mexico,10,Kia Optima,2019,226
320,New York,1,Acura Integra,2022,4163
321,New York,2,Honda CR-V,2024,4097
322,New York,3,Ram 1500,2019,3596
323,New York,4,Toyota Corolla,2023,3238
324,New York,5,Dodge Charger,2020,2830
325,New York,6,Hyundai Elantra,2021,2777
326,New York,7,Nissan Sentra,2019,2536
327,New York,8,Chevrolet Silverado 1500,2023,2498
328,New York,9,Tesla Model 3,2021,2241
329,New York,10,Honda Civic,2020,1982
330,North Carolina,1,Chevrolet Malibu,2022,2589
331,North Carolina,2,Nissan Sentra,2020,2243
332,North Carolina,3,Ford Explorer,2020,2190
333,North Carolina,4,Chevrolet Tahoe,2019,1999
334,North Carolina,5,Acura Integra,2024,1728
335,North Carolina,6,Dodge Charger,2021,1676
336,North Carolina,7,Tesla Model 3,2024,1530
337,North Carolina,8,Toyota Camry,2024,1355
338,North Carolina,9,Toyota RAV4,2023,1270
339,North Carolina,10,Ford F-150,2023,1183
340,North Dakota,1,Kia Optima,2020,203
341,North Dakota,2,Chevrolet Tahoe,2019,216
342,North Dakota,3,Tesla Model 3,2021,193
343,North Dakota,4,Hyundai Elantra,2021,172
344,North Dakota,5,Ram 1500,2022,167
345,North Dakota,6,Honda CR-V,2024,147
346,North Dakota,7,GMC Sierra 1500,2022,124
347,North Dakota,8,Kia Forte,2022,131
348,North Dakota,9,Honda Accord,2019,110
349,North Dakota,10,Jeep Grand Cherokee,2020,98
350,Ohio,1,Kia Optima,2020,2442
351,Ohio,2,Hyundai Sonata,2022,2444
352,Ohio,3,Toyota Corolla,2020,2361
353,Ohio,4,Nissan Sentra,2020,2083
354,Ohio,5,Jeep Grand Cherokee,2022,1774
355,Ohio,6,Tesla Model 3,2024,1630
356,Ohio,7,Ford Explorer,2022,1525
357,Ohio,8,GMC Sierra 1500,2021,1342
358,Ohio,9,Chevrolet Tahoe,2020,1262
359,Ohio,10,Acura Integra,2022,1270
360,Oklahoma,1,Chevrolet Tahoe,2022,687
361,Oklahoma,2,Kia Optima,2021,659
362,Oklahoma,3,Nissan Sentra,2019,579
363,Oklahoma,4,Ram 1500,2021,507
364,Oklahoma,5,Honda CR-V,2021,510
365,Oklahoma,6,Kia Forte,2021,473
366,Oklahoma,7,Ford Explorer,2022,444
367,Oklahoma,8,Ford F-150,2021,369
368,Oklahoma,9,Hyundai Elantra,2019,367
369,Oklahoma,10,Honda Civic,2020,318
370,Oregon,1,Kia Forte,2022,686
371,Oregon,2,Chevrolet Silverado 1500,2021,601
372,Oregon,3,Chevrolet Tahoe,2020,565
373,Oregon,4,Honda Civic,2020,584
374,Oregon,5,Nissan Sentra,2021,470
375,Oregon,6,Nissan Altima,2022,468
376,Oregon,7,Hyundai Sonata,2020,393
377,Oregon,8,Subaru Outback,2023,378
378,Oregon,9,Toyota RAV4,2022,385
379,Oregon,10,Acura Integra,2021,323
380,Pennsylvania,1,Hyundai Elantra,2020,2366
381,Pennsylvania,2,Toyota RAV4,2024,2329
382,Pennsylvania,3,Nissan Sentra,2019,2252
383,Pennsylvania,4,Ford Explorer,2022,2040
384,Pennsylvania,5,Dodge Charger,2020,1839
385,Pennsylvania,6,Chevrolet Silverado 1500,2023,1521
386,Pennsylvania,7,Tesla Model 3,2022,1569
387,Pennsylvania,8,Honda CR-V,2022,1363
388,Pennsylvania,9,Acura Integra,2024,1207
389,Pennsylvania,10,Chevrolet Malibu,2019,1214
390,Rhode Island,1,Acura Integra,2024,309
391,Rhode Island,2,Ford F-150,2022,289
392,Rhode Island,3,Jeep Grand Cherokee,2021,250
393,Rhode Island,4,GMC Sierra 1500,2020,220
394,Rhode Island,5,Chevrolet Malibu,2021,200
395,Rhode Island,6,Honda CR-V,2022,188
396,Rhode Island,7,Honda Civic,2021,185
397,Rhode Island,8,Kia Optima,2019,178
398,Rhode Island,9,Tesla Model 3,2024,155
399,Rhode Island,10,Hyundai Sonata,2023,144
400,South Carolina,1,Kia Optima,2019,889
401,South Carolina,2,Toyota Corolla,2021,866
402,South Carolina,3,Hyundai Sonata,2023,778
403,South Carolina,4,Kia Forte,2023,750
404,South Carolina,5,Nissan Altima,2021,664
405,South Carolina,6,Tesla Model 3,2021,597
406,South Carolina,7,Ford F-150,2023,527
407,South Carolina,8,Honda Civic,2023,484
408,South Carolina,9,Nissan Sentra,2022,461
409,South Carolina,10,Chevrolet Tahoe,2022,446
410,South Dakota,1,Acura Integra,2023,247
411,South Dakota,2,Jeep Grand Cherokee,2022,206
412,South Dakota,3,Ram 1500,2022,211
413,South Dakota,4,Kia Forte,2021,186
414,South Dakota,5,Honda CR-V,2022,158
415,South Dakota,6,Subaru Outback,2022,148
416,South Dakota,7,Hyundai Sonata,2021,150
417,South Dakota,8,Toyota Corolla,2021,126
418,South Dakota,9,Hyundai Elantra,2019,127
419,South Dakota,10,Ford F-150,2021,118
420,Tennessee,1,GMC Sierra 1500,2023,1434
421,Tennessee,2,Honda CR-V,2021,1490
422,Tennessee,3,Acura Integra,2021,1306
423,Tennessee,4,Honda Civic,2021,1124
424,Tennessee,5,Honda Accord,2021,1066
425,Tennessee,6,Toyota RAV4,2024,940
426,Tennessee,7,Toyota Corolla,2022,886
427,Tennessee,8,Jeep Grand Cherokee,2023,857
428,Tennessee,9,Subaru Outback,2023,769
429,Tennessee,10,Hyundai Sonata,2021,738
430,Texas,1,Toyota RAV4,2022,12216
431,Texas,2,Subaru Outback,2020,10957
432,Texas,3,Acura Integra,2021,10786
433,Texas,4,Kia Forte,2022,9259
434,Texas,5,Honda Accord,2019,9268
435,Texas,6,Ram 1500,2020,7673
436,Texas,7,Chevrolet Malibu,2021,8169
437,Texas,8,Nissan Altima,2022,6893
438,Texas,9,Dodge Charger,2019,5992
439,Texas,10,Ford Explorer,2020,6165
440,Utah,1,Chevrolet Silverado 1500,2021,522
441,Utah,2,Dodge Charger,2022,440
442,Utah,3,Chevrolet Malibu,2021,453
443,Utah,4,Toyota Camry,2024,392
444,Utah,5,Toyota Corolla,2023,376
445,Utah,6,Honda CR-V,2022,353
446,Utah,7,Honda Civic,2020,323
447,Utah,8,Kia Forte,2021,279
448,Utah,9,Nissan Sentra,2020,256
449,Utah,10,Jeep Grand Cherokee,2021,241
450,Vermont,1,Toyota Camry,2021,211
451,Vermont,2,Ford F-150,2021,183
452,Vermont,3,Chevrolet Tahoe,2020,178
453,Vermont,4,Tesla Model 3,2023,146
454,Vermont,5,Subaru Outback,2023,143
455,Vermont,6,Chevrolet Silverado 1500,2021,127
456,Vermont,7,Kia Optima,2021,122
457,Vermont,8,Toyota RAV4,2024,104
458,Vermont,9,Hyundai Elantra,2021,102
459,Vermont,10,Honda CR-V,2024,96
460,Virginia,1,Chevrolet Malibu,2020,1693
461,Virginia,2,Subaru Outback,2023,1759
462,Virginia,3,Hyundai Elantra,2021,1624
463,Virginia,4,Honda Accord,2019,1431
464,Virginia,5,Honda CR-V,2024,1347
465,Virginia,6,GMC Sierra 1500,2020,1133
466,Virginia,7,Ram 1500,2019,1005
467,Virginia,8,Toyota Camry,2022,1082
468,Virginia,9,Dodge Charger,2022,891
469,Virginia,10,Kia Optima,2019,912
470,Washington,1,Chevrolet Malibu,2021,1681
471,Washington,2,Nissan Sentra,2021,1521
472,Washington,3,Hyundai Sonata,2022,1502
473,Washington,4,Ram 1500,2022,1247
474,Washington,5,Honda Accord,2021,1220
475,Washington,6,Nissan Altima,2021,1058
476,Washington,7,Ford Explorer,2022,990
477,Washington,8,Dodge Charger,2021,929
478,Washington,9,Subaru Outback,2021,863
479,Washington,10,Acura Integra,2024,773
480,West Virginia,1,Toyota RAV4,2023,410
481,West Virginia,2,Toyota Camry,2024,379
482,West Virginia,3,Hyundai Elantra,2020,379
483,West Virginia,4,Hyundai Sonata,2022,305
484,West Virginia,5,Ford F-150,2023,298
485,West Virginia,6,Chevrolet Silverado 1500,2022,271
486,West Virginia,7,Nissan Altima,2020,267
487,West Virginia,8,Honda Civic,2020,225
488,West Virginia,9,Ford Explorer,2022,205
489,West Virginia,10,Chevrolet Malibu,2019,206
490,Wisconsin,1,Kia Forte,2021,1138
491,Wisconsin,2,Ford F-150,2021,935
492,Wisconsin,3,Toyota RAV4,2021,886
493,Wisconsin,4,Hyundai Elantra,2021,847
494,Wisconsin,5,Hyundai Sonata,2022,793
495,Wisconsin,6,GMC Sierra 1500,2022,765
496,Wisconsin,7,Ram 1500,2020,677
497,Wisconsin,8,Tesla Model 3,2021,567
498,Wisconsin,9,Honda Civic,2021,576
499,Wisconsin,10,Chevrolet Tahoe,2020,493
500,Wyoming,1,Subaru Outback,2022,179
501,Wyoming,2,Chevrolet Silverado 1500,2020,156
502,Wyoming,3,Ford F-150,2023,145
503,Wyoming,4,Tesla Model 3,2024,143
504,Wyoming,5,Acura Integra,2021,134
505,Wyoming,6,Hyundai Elantra,2020,120
506,Wyoming,7,Ram 1500,2022,111
507,Wyoming,8,Nissan Sentra,2021,103
508,Wyoming,9,Jeep Grand Cherokee,2022,96
509,Wyoming,10,Dodge Charger,2020,90
